;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;n_articles;n_correct;comments
3530;Duitse lift wurgt hond;Duitse lift wurgt hond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2627;Justitie wil baas Satudarah Geleen dertien jaar de cel in;President Satudarah Geleen ontkent afpersingen door motorclub;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
229;Euforische Krol na primeur: ‘Ik win verdomme nooit wat’;Nuis snelt naar overwinning op 1000 meter;Nuis had graag meegedaan aan recordregen in Thialf;Krol stunt met eerste wereldbekerzege op 1500 meter;Nuis baalt na vijfde plek op 1.500 meter van 'heel laffe rit';Thomas Krol kan eerste grote zege in vol Thialf amper bevatten;Kramer pakt brons bij rentree in Thialf, zilver voor Roest;Wüst: 'Ik had veel verwacht vandaag, maar geen baanrecord';Kramer 'ziet weer een opgaande lijn' na lastige twee maanden;Krol beleeft primeur in Thialf met wereldbekerzege op 1.500 meter;Nuis verslaat Kulizhnikov en wint 1.000 meter in Heerenveen;De Jong rekent met goud in Thialf af met 'kwelling' in Japan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;4;
770;Vliegmaatschappijen bewuster van risico's na MH17;Lessen van MH17: open luchtruim boven conflictgebied wordt niet meer blind vertrouwd;Nieuw rapport OVV over vliegen boven conflictgebied;Vliegmaatschappijen bewuster van risico's na MH17, maar het kan nóg beter;Vliegmaatschappijen bewuster van risico's na MH17-ramp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;
2215;Rechter: Den Helder brak gesprek over atelier Rob Scholte te vroeg af;Den Helder brak gesprek over atelier kunstenaar Rob Scholte te vroeg af;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1410;Dit zijn de (on)veiligste gemeenten van Nederland;'Minder misdaad in gemeente Groningen';Misdaadmeter: Limburg vier keer in top 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
4462;Armie Hammer ontkent gevraagd te zijn voor Batman-rol;Armie Hammer in gesprek met Warner Bros voor rol van nieuwe Batman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
325;Van Rijsselberghe net binnen top vijftig na eerste dag EK;Van Rijsselberghe vijfde na eerste EK-dag;Windsurfer Kiran Badloe heeft Europese titel binnen handbereik;Matige start Van Rijsselberghe en De Geus op EK windsurfen;Badloe passeert Van Rijsselberghe op dag 2 EK;Badloe en Van Rijsselberghe op medaillekoers in Palma de Mallorca;Badloe voor het eerst Europees kampioen windsurfen;Windsurfers Badloe en Van Rijsselberghe derde en zesde na tweede EK-dag;Windsurfer Badloe dicht bij gouden plak op EK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;
139;NAC heeft trainer Brood bijna binnen;Penders per direct weg: NAC ontslaat assistent;NAC en Brood nog altijd in gesprek met elkaar;Brood denkt dat geplaagd NAC nog aan directe degradatie kan ontsnappen;‘Brood nieuwe trainer NAC, presentatie na het weekend’;AZ verlengt contract talent Stengs met een jaar tot medio 2023;Willems ziet PSV mokerslag uitdelen aan Ajax: ‘We gaan er gewoon overheen klappen’;NAC Breda zegt contract clubtopscorer Te Vrede formeel op;'Hekkensluiter NAC stelt Brood aan als opvolger Van der Gaag';ADO praat met Immers en Becker over verlenging aflopend contract;Stengs weerstaat Ajax en verlengt contract bij AZ;Høegh en Woudenberg langer bij Heerenveen;Van steunpilaar tot clubicoon: huwelijk Penders en NAC na negentien jaar via telefoontje ten einde;Bryan Smeets: Heb blijkbaar wat met grote tegenstanders;Brood volgt Van der Gaag op bij NAC;NAC benoemt Eisenga en Van den Abbeele tot algemeen en technisch directeur;Sc Heerenveen zegt contracten Schaars en Van Amersfoort op;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;4;
3324;Urenlang is er die angst: hoe een rustige maandagochtend veranderde in een klopjacht op een mogelijke terrorist;‘Die man is toch geen móslim? Ík ben moslim en wij helpen elkaar’;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1763;Bijna een op de vijf ondernemers is niet voorbereid op brexit;KVK: Bijna helft ondernemers heeft geen plan voor 'no deal-Brexit';Tien dagen tot brexit: steeds meer ondernemers zijn er klaar voor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
157;‘Gele hesjes’ protesteren in Den Haag;Tientallen gewonden bij demonstratie 'Gele Hesjes' in Parijs;Geweld Parijs ontspoort: metrostations dicht, meer dan 200 arrestaties;Franse president Macron veroordeelt geweld en vandalisme 'Gele Hesjes' sterk;Franse politie botst opnieuw met ‘gele hesjes’ in Parijs;412 mensen opgepakt na 'Gele Hesjes'-protesten in Parijs;Geweld Parijs ontspoort: Arc de Triomphe beschadigd, 265 arrestaties;"‘Gele hesjes’ ook in Nederlandse steden de straat op; politie Maastricht pakt lokale actieleider op";Geweld Parijs ontspoort: metrostations dicht, meer dan 250 arrestaties;Arrestaties bij protesten ‘gele hesjes’, Binnenhof afgesloten;Alle aangehouden gele hesjes weer op vrije voeten;Protest Parijs ontspoord: Arc de Triomphe beschadigd, bijna 300 arrestaties;Arrestatie bij 'Gele Hesjes' in Maastricht, Binnenhof Den Haag afgesloten;Geweld Parijs ontspoort: metrostations dicht, bijna 200 arrestaties;Politie sluit Binnenhof af wegens ‘gele hesjes-protest’ in Den Haag;Franse politie gebruikt weer traangas bij demonstratie 'Gele Hesjes';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;9;
1345;Aantal Halt-straffen in gemeente Amsterdam vorig jaar afgenomen;Aantal Halt-straffen in gemeente Groningen vorig jaar toegenomen;Aantal Halt-straffen in gemeente Den Haag vorig jaar gedaald;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1153;'Dean Saunders overweegt stappen tegen ex Jamie Faber';Jamie Faber raakte bewusteloos na mishandeling door ex Dean Saunders;Ex-vriendin Dean Saunders: Hij gooide me zwanger van de trap;Advocaat Dean Saunders: ‘Juridische stappen tegen kwaadsprekende ex Jamie Faber’;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;
573;Van der Poel kan Gougeard niet van eindzege houden in de Sarthe;Van der Poel zakt uit top klassement in derde etappe Ronde van de Sarthe;Van der Poel boekt in openingsrit Ronde van de Sarthe derde seizoenszege;Gougeard wint in Sarthe, Riesebeek derde;Van der Poel wint eerste etappe in Circuit Cycliste Sarthe;Gougeard niet in de problemen in slotrit Circuit Cycliste Sarthe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;
3711;Ik heb zelden een nieuwsfeit zo schizofreen van karakter zien veranderen;Ik zag zelden nieuws zo schizofreen van karakter veranderen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2869;'Verenigde Arabische Emiraten luisterden op geavanceerde wijze iPhones af';'Hackoperatie Project Raven gericht op ambassades in Frankrijk en VK';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1636;‘Google en Facebook zijn nog niet volwassen. Ze dóén gewoon, en zeggen pas sorry als het misgaat’;De aanval op grote techbedrijven lijkt ingezet, maar of hun macht zal afnemen blijft onzeker;Leidt het algoritme van YouTube je naar extreme content?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;
5453;'Noord-Koreaanse functionarissen terug in grenskantoor met Zuid-Korea';Noord-Korea trekt zich terug uit gezamenlijk grenskantoor met Zuid-Korea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1145;Southgate en Sterling roepen UEFA op in te grijpen na racistische leuzen;UEFA onderzoekt racistisch gedrag fans Montenegro in duel met Engeland;Engeland wil racistische Montenegrijnen laten boeten;Engeland wil racistische Montenegrijnen laten bloeden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;
436;‘Kansloze asielzoekers moeten naar aparte opvang’;FNV geschokt over aantal meldingen onveiligheid in asielzoekerscentra;Kamer eist optreden tegen overlastplegers in asielzoekerscentra;Personeel asielzoekerscentra voelt zich onveilig: dagelijks agressie en geweld;‘Ineens stond er iemand met een mes te zwaaien’;‘Criminele asielzoeker moeten worden opgeslagen in database’;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;
1209;VVD verbolgen over uitspraken minister De Jonge: Hij heeft wel wat beters te doen;‘Marktwerking in de zorg is doorgeslagen’;Marktwerking in zorg is doorgeslagen volgens minister de Jonge;VVD verbolgen over uitspraken minister De Jonge: Hij heeft wel wat beters te doen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;
4863;Onlinesuper Picnic geeft personeel meer loon en sluit zich aan bij cao;FNV stapt naar rechter om cao voor personeel Picnic af te dwingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
5182;Twee kussens gevonden die mogelijk van vliegtuig Sala zijn;Familie van verdwenen voetballer Emiliano Sala gelooft niet dat hij dood is;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
151;Haga Lyceum trekt ondanks (of dankzij) ophef tenminste 135 extra leerlingen;‘Scholen weten helemaal niet of leerlingen profiteren van nieuwe lessen’;Inspectie: Toekomst onderwijs onder druk door ongelijk verdeeld lerarentekort;Onderwijsinspectie: het gaat niet goed met de havo;Haarlemse school heft groep 7 op wegens lerarentekort;Op bezoek bij een ‘hippe’ school in Groesbeek: ‘Onze coaches moeten leerlingen inspireren’;'Cornelius Haga Lyceum heeft 135 nieuwe aanmeldingen';Onderwijsinspectie maakt zich zorgen over kwaliteit van hippe onderwijsconcepten;Scholen binden strijd aan met ‘doorgeslagen toetscultuur’;Inspecteur-generaal onderwijsinspectie: 'We laten talent liggen';Vmbo’ers lezen slecht: scholen komen met verplichte leesuren;Haarlemse vrije school heeft geen leraar meer, dus is de hele klas opgeheven;En wéér heft een basisschool een klas op omdat er geen leraar is;'Die overhoring kan meteen, want we snappen de stof al';Monique Vogelzang: ‘Wordt het onderwijs beter van conceptscholen, of kost het slechts tijd en energie?’;Dit zeggen scholen met ‘hippe’ concepten zelf over de kwaliteit van hun onderwijs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;4;
4881;Geen treinen van en naar Alphen aan den Rijn dit weekend;Langere reistijd door werkzaamheden tussen Leiden en Utrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
3411;AEX lager na omzetalarm Apple;Flinke minnen op Europese beurzen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
4296;Tien doden door brand bij Braziliaanse voetbalclub Flamengo;Tien doden door brand bij jeugdcomplex Braziliaanse voetbalclub Flamengo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
